path,size
doc/neps/nep-0005-generalized-ufuncs.rst,8454
doc/neps/nep-0006-newbugtracker.rst,5968
doc/neps/nep-0007-datetime-proposal.rst,23619
doc/neps/nep-0008-groupby_additions.rst,3766
doc/neps/nep-0009-structured_array_extensions.rst,461
doc/neps/nep-0010-new-iterator-ufunc.rst,84421
doc/neps/nep-0011-deferred-ufunc-evaluation.rst,12239
doc/neps/nep-0012-missing-data.rst,49564
doc/neps/nep-0013-ufunc-overrides.rst,31072
doc/neps/nep-0014-dropping-python2.7-proposal.rst,2629
doc/neps/nep-0015-merge-multiarray-umath.rst,6425
doc/neps/nep-0016-abstract-array.rst,12486
doc/neps/nep-0016-benchmark.py,1035
doc/neps/nep-0017-split-out-maskedarray.rst,4433
doc/neps/nep-0018-array-function-protocol.rst,44745
doc/neps/nep-0019-rng-policy.rst,17759
doc/neps/nep-0020-gufunc-signature-enhancement.rst,14249
doc/neps/nep-0021-advanced-indexing.rst,27051
doc/neps/nep-0022-ndarray-duck-typing-overview.rst,17378
doc/neps/nep-0023-backwards-compatibility.rst,14917
doc/neps/nep-0024-missing-data-2.rst,8543
doc/neps/nep-0025-missing-data-3.rst,24161
doc/neps/nep-0026-missing-data-summary.rst,35063
doc/neps/nep-0027-zero-rank-arrarys.rst,9421
doc/neps/nep-0028-website-redesign.rst,14533
doc/neps/nep-0029-deprecation_policy.rst,13470
doc/neps/nep-0030-duck-array-protocol.rst,8153
doc/neps/nep-0031-uarray.rst,27568
doc/neps/nep-0032-remove-financial-functions.rst,9326
doc/neps/nep-0034-infer-dtype-is-object.rst,5859
doc/neps/nep-0035-array-creation-dispatch-with-array-function.rst,20198
doc/neps/nep-0036-fair-play.rst,6601
doc/neps/nep-0037-array-module.rst,26274
doc/neps/nep-0038-SIMD-optimizations.rst,16360
doc/neps/nep-0040-legacy-datatype-impl.rst,28337
doc/neps/nep-0041-improved-dtype-support.rst,35611
doc/neps/nep-0042-new-dtypes.rst,59096
doc/neps/nep-0043-extensible-ufuncs.rst,55151
doc/neps/nep-0044-restructuring-numpy-docs.rst,9763
doc/neps/nep-0045-c_style_guide.rst,7615
doc/neps/nep-0046-sponsorship-guidelines.rst,12098
doc/neps/nep-0047-array-api-standard.rst,34123
doc/neps/nep-0048-spending-project-funds.rst,23126
doc/neps/nep-0049.rst,14272
doc/neps/nep-0050-scalar-promotion.rst,33307
doc/neps/nep-0051-scalar-representation.rst,14313
doc/neps/nep-0052-python-api-cleanup.rst,14537
doc/neps/nep-0053-c-abi-evolution.rst,13434
doc/neps/nep-0054-simd-cpp-highway.rst,16009
doc/neps/nep-0055-string_dtype.rst,56992
doc/neps/nep-0056-array-api-main-namespace.rst,33842
doc/neps/nep-template.rst,3525
doc/neps/open.rst.tmpl,221
doc/neps/provisional.rst.tmpl,291
doc/neps/rejected.rst.tmpl,231
doc/neps/roadmap.rst,10777
doc/neps/scope.rst,2037
doc/source/benchmarking.rst,41
doc/source/conf.py,19215
doc/source/doxyfile,11927
doc/source/getting_started.rst,41
doc/source/glossary.rst,18653
doc/source/index.rst,3420
doc/source/license.rst,87
doc/source/numpy_2_0_migration_guide.rst,21989
doc/source/release.rst,3736
meson_cpu/arm/meson.build,2515
meson_cpu/ppc64/meson.build,1591
meson_cpu/riscv64/meson.build,244
meson_cpu/s390x/meson.build,725
meson_cpu/x86/meson.build,9357
numpy/_build_utils/__init__.py,780
numpy/_build_utils/gcc_build_bitness.py,515
numpy/_build_utils/gitversion.py,2698
numpy/_build_utils/process_src_template.py,1683
numpy/_build_utils/tempita.py,1435
numpy/_core/__init__.py,5612
numpy/_core/__init__.pyi,86
numpy/_core/_add_newdocs.py,209766
numpy/_core/_add_newdocs_scalars.py,12603
numpy/_core/_asarray.py,3910
numpy/_core/_asarray.pyi,1085
numpy/_core/_dtype.py,10734
numpy/_core/_dtype_ctypes.py,3718
numpy/_core/_exceptions.py,5379
numpy/_core/_internal.py,29164
numpy/_core/_internal.pyi,1022
numpy/_core/_machar.py,11565
numpy/_core/_methods.py,9469
numpy/_core/_string_helpers.py,2837
numpy/_core/_type_aliases.py,3489
numpy/_core/_type_aliases.pyi,2400
numpy/_core/_ufunc_config.py,15030
numpy/_core/_ufunc_config.pyi,1150
numpy/_core/arrayprint.py,64431
numpy/_core/arrayprint.pyi,4371
numpy/_core/check_longdouble.c,579
numpy/_core/config.h.in,3207
numpy/_core/cversions.py,347
numpy/_core/defchararray.py,37720
numpy/_core/defchararray.pyi,26969
numpy/_core/einsumfunc.py,52820
numpy/_core/einsumfunc.pyi,4883
numpy/_core/feature_detection_misc.h,84
numpy/_core/feature_detection_stdio.h,58
numpy/_core/fromnumeric.py,143911
numpy/_core/fromnumeric.pyi,31231
numpy/_core/function_base.py,19623
numpy/_core/function_base.pyi,5050
numpy/_core/getlimits.py,26112
numpy/_core/getlimits.pyi,61
numpy/_core/memmap.py,12207
numpy/_core/memmap.pyi,47
numpy/_core/meson.build,40532
numpy/_core/mlib.ini.in,168
numpy/_core/multiarray.py,56784
numpy/_core/multiarray.pyi,33747
numpy/_core/npymath.ini.in,367
numpy/_core/numeric.py,81721
numpy/_core/numeric.pyi,18723
numpy/_core/numerictypes.py,16125
numpy/_core/numerictypes.pyi,3535
numpy/_core/numpy.pc.in,195
numpy/_core/overrides.py,7084
numpy/_core/printoptions.py,1063
numpy/_core/records.py,36862
numpy/_core/records.pyi,9131
numpy/_core/shape_base.py,32884
numpy/_core/shape_base.pyi,3149
numpy/_core/strings.py,43487
numpy/_core/strings.pyi,12557
numpy/_core/umath.py,2063
numpy/_pyinstaller/__init__.py,0
