contributor,closed_issues_count
sciunto,2
dkirkby,2
ankur0904,2
ssbarnea,2
mikofski,2
barracuda156,2
pedersor,2
Jasha10,2
rehassachdeva,2
jsolbrig,2
brilee,2
par2,2
RinCat,2
adababys,2
arsenovic,2
jmgurney,2
Dapid,2
touqir14,2
jburroni,2
xiaoweiz,2
kiwifb,2
wackywendell,2
djhoese,2
llvilanova,2
othalan,2
HubertHolin,2
joonro,2
DanielSank,2
HorusCRM,2
SuperFluffy,2
sinhrks,2
dimasad,2
vsbuffalo,2
dashesy,2
trendelkampschroer,2
Garrett-R,2
rayarb,2
felixxm,2
jdreaver,2
Shambricool,2
YarShev,2
pbrod,2
pbazant,2
nasailja,2
srkunze,2
howarthjw,2
ahojnnes,2
jlmeunier,2
sbyrnes321,2
maldun,2
DavidPowell,2
jmlarson1,2
albanD,2
nilswagner,2
felixdivo,2
mgraczyk,2
tjlane,2
tomerh2001,2
ucyo,2
ChristophWiesmeyr,2
wence-,1
kkshitish9,1
mwhansen,1
lukauskas,1
marisolcontreras1,1
joaomarcalst,1
nullSoup,1
SamAdamDay,1
EgodPrime,1
kolamp,1
e-duard2,1
Zheaoli,1
rteqs,1
zzctmac,1
asarkar,1
lieheng-1,1
MunaAlaneme,1
Shezeeblanka,1
sergiopasra,1
leftys,1
monikasingh8097,1
wzy-99,1
musicinmybrain,1
sebreens,1
george0st,1
eyalk11,1
mdzubayerhossain,1
Beaconian,1
ernesto-ren,1
markgras,1
ji-ze,1
ljgdasfhk,1
SMAntony,1
DarshanSP19,1
GF-Huang,1
unalmis,1
PinkPandaKatie,1
eliasfrimanns,1
ananski-the-3rd,1
tguichaoua,1
Ryuk17,1
bp208322,1
holesond,1
j-bowhay,1
ShangJingLi,1
Mou141,1
Radicalware,1
Jdldeveloper,1
musvaage,1
forestbat,1
karelplanken,1
sebschub,1
yonghakim,1
ncooder,1
jwnimmer-tri,1
epmojo,1
BrunoBelucci,1
sveinung-r,1
n-gao,1
positr0nium,1
jonathanberthias,1
DiegoBaldassarMilleuno,1
furgerf,1
solomoncyj,1
ggggggggg,1
avalentino,1
mdavidsaver,1
felipemadeiros,1
MatejUrbanQC,1
alissonrodrigo,1
Aman-Pinjara,1
martiart,1
P-Kaempf,1
vtavana,1
guillaume-troadec,1
4l1fe,1
hadrizi,1
plague-spreader,1
Fractal2017,1
tepperly,1
ldouteau,1
hadisyekta,1
duncanmmacleod,1
as-nobu,1
digitalsignalperson,1
ndgrigorian,1
JCGoran,1
mathatter997,1
wuxin008,1
PydPiper,1
baloe,1
23pointsNorth,1
alasdairwilson,1
langeleipe,1
mlabslyken,1
moloney,1
nmiles2718,1
desiree-rentz,1
amirh0ss3in,1
nir-vaknin-vaknin,1
mcrumiller,1
francescotaurone,1
DMcAUoS,1
jikechao,1
liuwei-git,1
stenhasselquist,1
JonasDeSchouwer,1
mosc9575,1
alarichartsock,1
inakleinbottle,1
masaduzz1,1
jparismorgan,1
m-weigand,1
nicholasrossano,1
schekroud,1
bard259,1
varchasgopalaswamy,1
determ1ne,1
timothymillar,1
elac-safran,1
jonnypeace,1
jkohnert,1
AlterraFa,1
rchiodo,1
PeterWurmsdobler,1
ClarkMyWords,1
hdattada,1
eagunn,1
Andrej730,1
VictorEijkhout,1
wasade,1
gilaroni,1
R0ckySu,1
nickodell,1
AngeloD2022,1
fmigneault,1
vahidmech,1
2-5,1
BergLucas,1
mdevino,1
ids-pas,1
l09rin,1
timonebiker796,1
Divyanshukukreti,1
nabenabe0928,1
WhiteSymmetry,1
JacobHayes,1
bedroge,1
nicholas-mati,1
izaid,1
rtsscy,1
tomsilver,1
mweinelt,1
potiuk,1
shiningalehxb,1
bjfrbjx,1
ComEngAlishba,1
donhatch,1
aherbert,1
DYFeng,1
TTPO100AJIEX,1
FabriceSalvaire,1
quant12345,1
kingkong311,1
msimacek,1
arunppsg,1
bashirmindee,1
sl2c,1
bhimabi,1
wjandrea,1
vfdev-5,1
piotr-blaszyk-fyp,1
AnnaTrainingG,1
Flamefire,1
MsAnitaAli,1
LittleDogXi,1
rmjarvis,1
ilaks2,1
agriyakhetarpal,1
q-wertz,1
zp2546265641,1
WenyinWei,1
Qjbtiger,1
subhylahiri,1
Shantanu-Singh499,1
Alienrazor,1
manodeep,1
hjenryin,1
edx-h,1
daknuett,1
iyz91,1
Leo-Ji2020,1
arunkannawadi,1
ernimd,1
tuhinsharma121,1
benjamin-lieser,1
VincentSon,1
