source,target,weight
mattip,seiko2plus,7
mattip,tupui,2
mattip,tylerjereddy,1
melissawm,HaoZeke,3
melissawm,dhomeier,1
melissawm,rossbar,2
mlondschien,rossbar,2
mlondschien,seberg,1
ngoldbaum,charris,2
ngoldbaum,eendebakpt,1
ngoldbaum,mattip,3
ngoldbaum,rossbar,15
ngoldbaum,seberg,8
oleksandr-pavlyk,eendebakpt,1
oleksandr-pavlyk,rossbar,1
oleksandr-pavlyk,seberg,1
oscargus,charris,1
oscargus,rossbar,1
panosz,eendebakpt,1
panosz,rossbar,2
pradghos,rossbar,2
pradghos,seiko2plus,2
r-devulap,Developer-Ecosystem-Engineering,3
r-devulap,eendebakpt,2
r-devulap,mattip,18
r-devulap,panosz,2
r-devulap,rdevulap,7
r-devulap,rgommers,2
r-devulap,rossbar,10
r-devulap,seberg,12
r-devulap,seiko2plus,12
rdevulap,eendebakpt,2
rdevulap,panosz,2
rdevulap,r-devulap,12
rdevulap,rossbar,2
rgommers,DWesl,22
rgommers,MatteoRaso,3
rgommers,eendebakpt,1
rgommers,mattip,4
rgommers,rossbar,10
rgommers,seberg,3
richierocks,charris,1
richierocks,rossbar,1
rossbar,BvB93,6
rossbar,DWesl,13
rossbar,HaoZeke,7
rossbar,MatteoRaso,1
rossbar,Phlogistique,2
rossbar,andyfaff,5
rossbar,charris,3
rossbar,mattip,59
rossbar,r-devulap,4
rossbar,rgommers,4
rossbar,seberg,15
rossbar,tylerjereddy,1
sayantikabanik,andyfaff,1
sayantikabanik,charris,2
sayantikabanik,hmaarrfk,1
sayantikabanik,mattip,2
sayantikabanik,rossbar,2
seberg,BvB93,7
seberg,DWesl,13
seberg,Developer-Ecosystem-Engineering,1
seberg,HaoZeke,16
seberg,MatteoRaso,8
seberg,Phlogistique,1
seberg,WillTirone,1
seberg,andyfaff,13
seberg,charris,77
seberg,chethanreddy123,1
seberg,dmbelov,1
seberg,dshintani404,2
seberg,eendebakpt,15
seberg,ganesh-k13,10
seberg,jfbu,1
seberg,markopacak,6
seberg,mattip,227
seberg,ngoldbaum,16
seberg,panosz,4
seberg,r-devulap,12
seberg,rdevulap,6
seberg,rgommers,15
seberg,richierocks,1
seberg,rossbar,216
seberg,seiko2plus,2
seberg,stefmolin,4
seberg,tupui,5
seberg,tylerjereddy,2
seiko2plus,Developer-Ecosystem-Engineering,4
seiko2plus,andyfaff,4
seiko2plus,charris,8
seiko2plus,mattip,80
seiko2plus,r-devulap,2
seiko2plus,rossbar,24
seiko2plus,seberg,15
spagh-eddie,kraj,1
spagh-eddie,rossbar,1
stefmolin,markopacak,1
stefmolin,rossbar,1
tupui,mattip,2
tupui,rossbar,3
tupui,seberg,3
tylerjereddy,charris,1
tylerjereddy,rgommers,1
tylerjereddy,rossbar,1
tylerjereddy,seberg,2
xor2k,rossbar,3
