label,count
"['04 - Documentation', '53 - Invalid']",3
"['17 - Task', 'Priority: high', 'component: numpy._core']",3
"['00 - Bug', '33 - Question']",3
"['00 - Bug', '50 - Duplicate', 'Static typing']",3
['sprintable - C'],3
"['04 - Documentation', 'component: numpy.distutils']",3
"['15 - Discussion', 'component: numpy._core']",3
"['component: build', '53 - Invalid']",3
"['component: numpy._core', '03 - Maintenance']",3
"['00 - Bug', '06 - Regression', 'component: SIMD']",3
"['57 - Close?', '50 - Duplicate']",3
"['57 - Close?', 'Static typing']",3
"['00 - Bug', '03 - Maintenance']",3
"['00 - Bug', '06 - Regression', 'Priority: high']",3
"['00 - Bug', 'component: numpy.distutils', 'component: numpy.f2py']",3
"['00 - Bug', 'component: documentation', 'component: numpy.random']",3
"['00 - Bug', '39 - free-threading']",2
"['00 - Bug', 'component: Other', '57 - Close?']",2
"['01 - Enhancement', 'component: numpy.random', 'Patch']",2
"['01 - Enhancement', 'component: numpy.lib', 'Patch']",2
"['00 - Bug', '57 - Close?', '32 - Installation']",2
"['00 - Bug', 'component: numpy.distutils', 'component: SIMD']",2
"['04 - Documentation', 'component: numpy.ma', 'sprintable']",2
"['00 - Bug', 'component: CI']",2
"['00 - Bug', 'component: numpy.ma', 'Patch']",2
['component: numpy.matrixlib'],2
"['00 - Bug', '57 - Close?', 'component: build']",2
"['01 - Enhancement', 'component: Other', 'Patch']",2
['sprintable'],2
"['00 - Bug', 'component: build', 'component: distribution']",2
"['00 - Bug', 'component: numpy.ma', 'sprintable']",2
"['57 - Close?', 'component: distribution']",2
"['01 - Enhancement', '05 - Testing', 'defunct — difficulty: Intermediate']",2
"['16 - Development', 'component: build']",2
"['06 - Regression', 'component: numpy.random']",2
"['00 - Bug', '32 - Installation', 'component: SIMD']",2
"['04 - Documentation', 'component: NEP']",2
"['50 - Duplicate', 'Static typing']",2
"['component: numpy.polynomial', '03 - Maintenance']",2
"['04 - Documentation', 'component: CI']",2
"['00 - Bug', 'component: __array_function__']",2
"['04 - Documentation', 'component: numpy.ufunc']",2
"['07 - Deprecation', 'component: numpy.ufunc']",2
"['component: Other', '51 - In progress']",2
['component: SIMD'],2
"['00 - Bug', 'component: numpy.lib', '07 - Deprecation']",2
"['04 - Documentation', 'component: documentation', '57 - Close?']",2
