path,size,extension
numpy/_core/_add_newdocs_scalars.py,12603,py
numpy/_core/_asarray.py,3910,py
numpy/_core/_asarray.pyi,1085,pyi
numpy/_core/_dtype.py,10734,py
numpy/_core/_dtype_ctypes.py,3718,py
numpy/_core/_exceptions.py,5379,py
numpy/_core/_internal.py,29164,py
numpy/_core/_internal.pyi,1022,pyi
numpy/_core/_machar.py,11565,py
numpy/_core/_methods.py,9469,py
numpy/_core/_string_helpers.py,2837,py
numpy/_core/_type_aliases.py,3489,py
numpy/_core/_type_aliases.pyi,2400,pyi
numpy/_core/_ufunc_config.py,15030,py
numpy/_core/_ufunc_config.pyi,1150,pyi
numpy/_core/arrayprint.py,64431,py
numpy/_core/arrayprint.pyi,4371,pyi
numpy/_core/check_longdouble.c,579,c
numpy/_core/config.h.in,3207,in
numpy/_core/cversions.py,347,py
numpy/_core/defchararray.py,37720,py
numpy/_core/defchararray.pyi,26969,pyi
numpy/_core/einsumfunc.py,52820,py
numpy/_core/einsumfunc.pyi,4883,pyi
numpy/_core/feature_detection_misc.h,84,h
numpy/_core/feature_detection_stdio.h,58,h
numpy/_core/fromnumeric.py,143911,py
numpy/_core/fromnumeric.pyi,31231,pyi
numpy/_core/function_base.py,19623,py
numpy/_core/function_base.pyi,5050,pyi
numpy/_core/getlimits.py,26112,py
numpy/_core/getlimits.pyi,61,pyi
numpy/_core/memmap.py,12207,py
numpy/_core/memmap.pyi,47,pyi
numpy/_core/meson.build,40532,build
numpy/_core/mlib.ini.in,168,in
numpy/_core/multiarray.py,56784,py
numpy/_core/multiarray.pyi,33747,pyi
numpy/_core/npymath.ini.in,367,in
numpy/_core/numeric.py,81721,py
numpy/_core/numeric.pyi,18723,pyi
numpy/_core/numerictypes.py,16125,py
numpy/_core/numerictypes.pyi,3535,pyi
numpy/_core/numpy.pc.in,195,in
numpy/_core/overrides.py,7084,py
numpy/_core/printoptions.py,1063,py
numpy/_core/records.py,36862,py
numpy/_core/records.pyi,9131,pyi
numpy/_core/shape_base.py,32884,py
numpy/_core/shape_base.pyi,3149,pyi
numpy/_core/strings.py,43487,py
numpy/_core/strings.pyi,12557,pyi
numpy/_core/umath.py,2063,py
numpy/_pyinstaller/__init__.py,0,py
numpy/_pyinstaller/hook-numpy.py,1393,py
numpy/_typing/__init__.py,4941,py
numpy/_typing/_add_docstring.py,3995,py
numpy/_typing/_array_like.py,5155,py
numpy/_typing/_callable.pyi,12513,pyi
numpy/_typing/_char_codes.py,8724,py
numpy/_typing/_dtype_like.py,5964,py
numpy/_typing/_extended_precision.py,777,py
numpy/_typing/_nbit.py,632,py
numpy/_typing/_nbit_base.py,2880,py
numpy/_typing/_nested_sequence.py,2608,py
numpy/_typing/_scalars.py,1031,py
numpy/_typing/_shape.py,231,py
numpy/_typing/_ufunc.py,153,py
numpy/_typing/_ufunc.pyi,24603,pyi
numpy/_utils/__init__.py,3224,py
numpy/_utils/_convertions.py,329,py
numpy/_utils/_inspect.py,7435,py
numpy/_utils/_pep440.py,14069,py
numpy/char/__init__.py,93,py
numpy/char/__init__.pyi,1539,pyi
numpy/compat/__init__.py,727,py
numpy/compat/py3k.py,3803,py
numpy/core/__init__.py,1275,py
numpy/core/__init__.pyi,0,pyi
numpy/core/_dtype.py,322,py
numpy/core/_dtype_ctypes.py,350,py
numpy/core/_internal.py,947,py
numpy/core/_multiarray_umath.py,2096,py
numpy/core/_utils.py,923,py
numpy/core/arrayprint.py,338,py
numpy/core/defchararray.py,346,py
numpy/core/einsumfunc.py,338,py
numpy/core/fromnumeric.py,342,py
numpy/core/function_base.py,350,py
numpy/core/getlimits.py,334,py
numpy/core/multiarray.py,792,py
numpy/core/numeric.py,359,py
numpy/core/numerictypes.py,346,py
numpy/core/overrides.py,334,py
numpy/core/records.py,326,py
numpy/core/shape_base.py,338,py
numpy/core/umath.py,318,py
numpy/distutils/__init__.py,2074,py
numpy/distutils/__init__.pyi,119,pyi
numpy/distutils/_shell_utils.py,2538,py
numpy/distutils/armccompiler.py,962,py
numpy/distutils/ccompiler.py,28690,py
numpy/distutils/ccompiler_opt.py,100396,py
numpy/distutils/conv_template.py,9536,py
numpy/distutils/core.py,8173,py
numpy/distutils/cpuinfo.py,22639,py
numpy/distutils/exec_command.py,10282,py
numpy/distutils/extension.py,3460,py
numpy/distutils/from_template.py,7913,py
numpy/distutils/fujitsuccompiler.py,834,py
numpy/distutils/intelccompiler.py,4022,py
numpy/distutils/lib2def.py,3630,py
numpy/distutils/line_endings.py,2032,py
numpy/distutils/log.py,2879,py
numpy/distutils/mingw32ccompiler.py,22151,py
numpy/distutils/misc_util.py,89239,py
numpy/distutils/msvc9compiler.py,2192,py
numpy/distutils/msvccompiler.py,2647,py
numpy/distutils/npy_pkg_config.py,13018,py
numpy/distutils/numpy_distribution.py,634,py
numpy/distutils/pathccompiler.py,713,py
numpy/distutils/system_info.py,113927,py
numpy/distutils/unixccompiler.py,5426,py
numpy/doc/ufuncs.py,5414,py
numpy/f2py/__init__.py,2526,py
