login,commits,percent_contribution
1fish2,7,0.020498404052827317
jon-deng,7,0.020498404052827317
kshyatt,7,0.020498404052827317
keremh,6,0.017570060616709127
j-i-l,6,0.017570060616709127
tempyancey123,6,0.017570060616709127
hmeine,6,0.017570060616709127
abhilash42,6,0.017570060616709127
mrocklin,6,0.017570060616709127
pgunn,6,0.017570060616709127
otieno-juma,6,0.017570060616709127
roysti10,6,0.017570060616709127
ShobanChiddarth,6,0.017570060616709127
simon-graham,6,0.017570060616709127
scoder,6,0.017570060616709127
gdementen,6,0.017570060616709127
iameskild,6,0.017570060616709127
ceh,6,0.017570060616709127
dstansby,6,0.017570060616709127
dgasmith,6,0.017570060616709127
colinsnyder,6,0.017570060616709127
perimosocordiae,6,0.017570060616709127
ahmadia,6,0.017570060616709127
anthonyhvo12,6,0.017570060616709127
anaskhan96,6,0.017570060616709127
alexhenrie,6,0.017570060616709127
eltociear,6,0.017570060616709127
parulagg27,6,0.017570060616709127
wwendell,6,0.017570060616709127
esc,6,0.017570060616709127
tuhinsharma121,6,0.017570060616709127
MrBago,5,0.01464171718059094
eagunn,5,0.01464171718059094
partev,5,0.01464171718059094
xamm,5,0.01464171718059094
abhayaman669,5,0.01464171718059094
stefan6419846,5,0.01464171718059094
sotte,5,0.01464171718059094
srinivasreddy,5,0.01464171718059094
ZicsX,5,0.01464171718059094
svmudkavi,5,0.01464171718059094
rpolley,5,0.01464171718059094
vrakesh,5,0.01464171718059094
uds5501,5,0.01464171718059094
ninousf,5,0.01464171718059094
Mitchell-Faas,5,0.01464171718059094
ivanov,5,0.01464171718059094
Micky774,5,0.01464171718059094
mayeut,5,0.01464171718059094
kif,5,0.01464171718059094
zephyr111,5,0.01464171718059094
joaopfg,5,0.01464171718059094
JulesKouatchou,5,0.01464171718059094
larrybradley,5,0.01464171718059094
pijyoi,5,0.01464171718059094
lucascolley,5,0.01464171718059094
paxcodes,5,0.01464171718059094
seattletechdiary,5,0.01464171718059094
mreineck,5,0.01464171718059094
mgeier,5,0.01464171718059094
mlamarre,5,0.01464171718059094
rouault,5,0.01464171718059094
efiring,5,0.01464171718059094
bramton,5,0.01464171718059094
bran206,5,0.01464171718059094
brandtbucher,5,0.01464171718059094
dcaliste,5,0.01464171718059094
jzwinck,5,0.01464171718059094
joferkington,5,0.01464171718059094
convexset,5,0.01464171718059094
isabela-pf,5,0.01464171718059094
homu,5,0.01464171718059094
h3jia,5,0.01464171718059094
girving,5,0.01464171718059094
Garrett-R,5,0.01464171718059094
fkbreitl,5,0.01464171718059094
felixdivo,5,0.01464171718059094
dmitrii-zagornyi,5,0.01464171718059094
bduvenhage,5,0.01464171718059094
bfroehle,5,0.01464171718059094
peterjc,4,0.011713373744472752
longjon,4,0.011713373744472752
ChrisBarker-NOAA,4,0.011713373744472752
pletnes,4,0.011713373744472752
noritada,4,0.011713373744472752
verma16Ayush,4,0.011713373744472752
aukejw,4,0.011713373744472752
arushi-08,4,0.011713373744472752
andu97,4,0.011713373744472752
abatomunkuev,4,0.011713373744472752
patto90,4,0.011713373744472752
bryevdv,4,0.011713373744472752
bertrand-l,4,0.011713373744472752
foogod,4,0.011713373744472752
arogozhnikov,4,0.011713373744472752
astrojuanlu,4,0.011713373744472752
yolanda15,4,0.011713373744472752
jnothman,4,0.011713373744472752
wrzadkow,4,0.011713373744472752
vrindaaa,4,0.011713373744472752
timcera,4,0.011713373744472752
sturlamolden,4,0.011713373744472752
stefmolin,4,0.011713373744472752
postmalloc,4,0.011713373744472752
Shekharrajak,4,0.011713373744472752
sandrotosi,4,0.011713373744472752
rnelsonchem,4,0.011713373744472752
cooperrc,4,0.011713373744472752
rohitsanj,4,0.011713373744472752
rdevulap,4,0.011713373744472752
mspacek,4,0.011713373744472752
MartinThoma,4,0.011713373744472752
niyas-sait,4,0.011713373744472752
npinto,4,0.011713373744472752
sterrettm2,4,0.011713373744472752
Matthew-Badin,4,0.011713373744472752
newville,4,0.011713373744472752
luispedro,4,0.011713373744472752
LeonaTaric,4,0.011713373744472752
mproszewska,4,0.011713373744472752
lgeiger,4,0.011713373744472752
l-johnston,4,0.011713373744472752
lakshayg,4,0.011713373744472752
klieret,4,0.011713373744472752
KrisMinchev,4,0.011713373744472752
kiwifb,4,0.011713373744472752
fnhirwa,4,0.011713373744472752
arubiales,4,0.011713373744472752
ajayjanapareddi,4,0.011713373744472752
juztamau5,4,0.011713373744472752
jcusick13,4,0.011713373744472752
KybernetikJo,4,0.011713373744472752
vanossj,4,0.011713373744472752
jfbu,4,0.011713373744472752
janusheide,4,0.011713373744472752
jamiebarker0310,4,0.011713373744472752
SnoopJ,4,0.011713373744472752
kohr-h,4,0.011713373744472752
guoci,4,0.011713373744472752
guilhermeleobas,4,0.011713373744472752
FelixHartmann,4,0.011713373744472752
lazka,4,0.011713373744472752
dhermes,4,0.011713373744472752
DevinShanahan,4,0.011713373744472752
gandalf013,4,0.011713373744472752
amrit110,4,0.011713373744472752
ahesford,3,0.008785030308354563
hypercubestart,3,0.008785030308354563
wandrewjam,3,0.008785030308354563
alexcwatt,3,0.008785030308354563
aherbert,3,0.008785030308354563
asford,3,0.008785030308354563
alessiamarcolini,3,0.008785030308354563
apbard,3,0.008785030308354563
drskoolie,3,0.008785030308354563
andreas-schwab,3,0.008785030308354563
Flamefire,3,0.008785030308354563
